number,department.name
1,Department of Agriculture
2,Department of Commerce
3,Department of Defense
4,Department of Health and Human Services
5,Department of the Interior
6,Department of Justice
7,Department of Labor
8,Department of State
9,Department of the Treasury
10,Department of Homeland Security
11,Department of Education
12,Department of Energy
13,Department of Transportation
14,Department of Housing and Urban Development
15,USDA
16,DOD
17,DOJ
18,DOT
19,Agriculture
20,Commerce
21,Defense
22,Health and Human Services
23,Interior
24,Justice
25,Labor
26,Treasury
27,Education
28,Energy
29,Transportation
30,"Department of Health, Education, and Welfare"